"GUID","${L_Model$$GUIDOfDeclaration}"
"Consignment/LocationOfGoods/UNLocode/ValidTo","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$UNLocode} > ${Valid to}"
"Consignment/LocationOfGoods/UNLocode/_description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$UNLocode} > ${_ description}"
"Consignment/LocationOfGoods/UNLocode/Lng","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$UNLocode} > ${Description language}"
"Consignment/LocationOfGoods/CustomsOffice","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber/Code","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber} > ${ReferenceNumber}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber/Description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber} > ${Description}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber/ValidFrom","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber} > ${Valid from}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber/ValidTo","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber} > ${Valid to}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber/_description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber} > ${_ description}"
"Consignment/LocationOfGoods/CustomsOffice/referenceNumber/Lng","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$CustomsOffice} > ${L_Model$$ReferenceNumber} > ${Description language}"
"Consignment/LocationOfGoods/GNSS","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$GNSS}"
"Consignment/LocationOfGoods/GNSS/latitude","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$GNSS} > ${L_Model$$Latitude}"
"Consignment/LocationOfGoods/GNSS/longitude","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$GNSS} > ${L_Model$$Longitude}"
"Consignment/LocationOfGoods/EconomicOperator","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$EconomicOperator}"
"Consignment/LocationOfGoods/EconomicOperator/identificationNumber","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$EconomicOperator} > ${L_Model$$IdentificationNumber}"
"Consignment/LocationOfGoods/Address","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address}"
"Consignment/LocationOfGoods/Address/streetAndNumber","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$StreetAndNumber}"
"Consignment/LocationOfGoods/Address/postcode","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Postcode}"
"Consignment/LocationOfGoods/Address/city","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$City}"
"Consignment/LocationOfGoods/Address/country","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country}"
"Consignment/LocationOfGoods/Address/country/Code","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${CountryCode}"
"Consignment/LocationOfGoods/Address/country/TccEntryDate","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${TccEntryDate}"
"Consignment/LocationOfGoods/Address/country/NctsEntryDate","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${NctsEntryDate}"
"Consignment/LocationOfGoods/Address/country/GeoNomenclatureCode","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${GeoNomenclatureCode}"
"Consignment/LocationOfGoods/Address/country/CountryRegimeCode","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${CountryRegimeCode}"
"Consignment/LocationOfGoods/Address/country/Description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${Description}"
"Consignment/LocationOfGoods/Address/country/ValidFrom","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${Valid from}"
"Consignment/LocationOfGoods/Address/country/ValidTo","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${Valid to}"
"Consignment/LocationOfGoods/Address/country/_description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${_ description}"
"Consignment/LocationOfGoods/Address/country/Lng","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$Address} > ${L_Model$$Country} > ${Description language}"
"Consignment/LocationOfGoods/ContactPerson","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$ContactPerson}"
"Consignment/LocationOfGoods/ContactPerson/name","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$ContactPerson} > ${L_Model$$Name}"
"Consignment/LocationOfGoods/ContactPerson/phoneNumber","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$ContactPerson} > ${L_Model$$PhoneNumber}"
"Consignment/LocationOfGoods/ContactPerson/eMailAddress","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$ContactPerson} > ${L_Model$$EMailAddress}"
"Consignment/LocationOfGoods/PostcodeAddress","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress}"
"Consignment/LocationOfGoods/PostcodeAddress/houseNumber","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$HouseNumber}"
"Consignment/LocationOfGoods/PostcodeAddress/postcode","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Postcode}"
"Consignment/LocationOfGoods/PostcodeAddress/country","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country}"
"Consignment/LocationOfGoods/PostcodeAddress/country/Code","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country} > ${CountryCode}"
"Consignment/LocationOfGoods/PostcodeAddress/country/Description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country} > ${Description}"
"Consignment/LocationOfGoods/PostcodeAddress/country/ValidFrom","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country} > ${Valid from}"
"Consignment/LocationOfGoods/PostcodeAddress/country/ValidTo","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country} > ${Valid to}"
"Consignment/LocationOfGoods/PostcodeAddress/country/_description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country} > ${_ description}"
"Consignment/LocationOfGoods/PostcodeAddress/country/Lng","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$PostcodeAddress} > ${L_Model$$Country} > ${Description language}"
"Decision_Clearance","${L_Model$$ApprovalClearanceOutsideE047154D}"
"Decision_Clearance/description","${L_Model$$ApprovalClearanceOutsideE047154D} > ${L_Model$$DescriptionOfDecision}"
"Decision_Clearance/administrativeNumber","${L_Model$$ApprovalClearanceOutsideE047154D} > ${L_Model$$AdministrativeNumber}"
"Decision","${L_Model$$Acceptance}"
"Decision/description","${L_Model$$Acceptance} > ${L_Model$$DescriptionOfDecision}"
